id,name,type,ownership_percentage,address,birthdate,nationality
1,Lindsay Oneal,Person,40.59,"4770 Mary Mountains
Williammouth, OK 62953",1941-12-08,British Virgin Islands
2,Kathy King,Company,45.51,"8040 Pugh Trail Suite 250
South Michael, MH 07403",1999-10-05,British Virgin Islands
3,Gregory Roberts,Company,76.27,"05831 Davidson Oval
North Natasha, UT 05460",1958-12-13,British Virgin Islands
4,Bradley Smith,Company,84.42,"241 Jason Manor
East Davidhaven, VA 24526",1982-12-15,British Virgin Islands
5,Donna Smith,Person,18.04,"287 Jennifer Cliffs
New Richard, MP 80794",1965-04-26,British Virgin Islands
6,Chris Donaldson,Company,63.74,"39164 Glenn Pike
Amyhaven, ID 67311",1935-05-24,British Virgin Islands
7,Jill Collins,Person,56.44,"232 Zachary Locks Apt. 517
Nicholasview, VT 56724",1973-05-20,British Virgin Islands
8,Tabitha Gould,Person,59.35,"5998 Christie Neck Apt. 080
Patrickton, TN 79371",1962-03-06,British Virgin Islands
9,Michael Grant,Company,34.43,"USNV Ramos
FPO AE 70852",1935-08-24,British Virgin Islands
10,Tiffany Garcia,Person,70.15,"USCGC Thomas
FPO AA 39926",1983-10-12,British Virgin Islands
11,Michelle Sanchez,Person,1.26,"244 Elizabeth Lake
Harrismouth, IL 87583",1944-01-28,British Virgin Islands
12,James Howard,Person,35.86,"076 Amy Highway Suite 708
Hallshire, MS 01315",1957-10-20,British Virgin Islands
13,Michelle Goodman,Person,80.9,"712 Krystal Crossroad
Sarahport, PR 46102",1990-12-14,British Virgin Islands
14,Jeremy White,Company,66.27,"5269 Catherine Freeway
New Tinashire, FL 63423",1942-11-22,British Virgin Islands
15,Nicholas Hernandez,Company,34.19,"255 Tracy Way Suite 947
Joshuaton, TX 18015",1950-10-01,British Virgin Islands
16,Grant Gomez,Company,76.04,"57620 Myers Parkway
Jamieborough, ID 63193",1944-11-24,British Virgin Islands
17,Joseph Ryan,Company,23.58,"3432 Holden Forest
Lake Cody, MN 28667",1966-01-10,British Virgin Islands
18,Dustin Yoder,Person,52.74,"985 George Fields Apt. 102
New Timothy, WI 77051",1960-05-16,British Virgin Islands
19,Jessica Williams,Company,36.91,"5671 Jose Cove Suite 912
Port Jenniferville, OK 88609",1946-05-26,British Virgin Islands
20,Mark Oneal,Person,72.45,"706 Allen Roads Apt. 227
Carterside, AK 63493",1994-03-12,British Virgin Islands
21,Austin Mcconnell,Company,43.44,"7922 Wright Falls
Lisashire, PA 51877",1944-10-07,British Virgin Islands
22,Nicole Young,Person,73.85,"73250 Park Islands Apt. 433
Port Brianfort, IL 72509",1980-10-04,British Virgin Islands
23,Kristina Ryan,Company,47.11,"3975 Michelle Ramp
Port Desireeton, OH 83207",1944-10-30,British Virgin Islands
24,Brooke Harris,Company,81.85,"45251 Cole Plaza
Port Michael, AK 44306",1957-10-05,British Virgin Islands
25,Heather Beck,Company,41.85,"4300 Andrew Groves Suite 683
Lopezland, NE 44788",1948-07-25,British Virgin Islands
26,Ann Cochran,Company,51.48,"050 Jackson Shoal
Josemouth, NV 75140",2005-02-11,British Virgin Islands
27,Lauren Coleman,Person,33.24,"779 Garcia Flat Apt. 663
North David, FL 35295",1997-06-04,British Virgin Islands
28,Christopher Benson,Person,94.11,"4331 Yvette Road Suite 847
North Elizabethhaven, IN 91350",1956-11-27,British Virgin Islands
29,Renee Smith,Company,88.28,"96139 Smith Expressway Suite 049
Cochranbury, MD 67555",2005-03-29,British Virgin Islands
30,Steven Valdez,Company,19.06,"842 Howell Mountain
South Rhonda, TX 76445",1988-12-02,British Virgin Islands
31,Dana Guzman,Company,87.15,"937 Shannon Isle Suite 118
East Kimberly, OH 96967",1970-02-04,British Virgin Islands
32,Roberto Wood,Company,47.71,"PSC 9107, Box 3346
APO AE 99948",1949-02-27,British Virgin Islands
33,Dylan Obrien,Company,47.97,"PSC 4853, Box 7687
APO AE 78396",1970-06-28,British Virgin Islands
34,Kayla Thomas,Person,21.9,"7448 Fisher Knolls
Lake Kim, NV 11063",1968-09-18,British Virgin Islands
35,Derrick Parks,Company,40.56,"2009 Katherine Field Suite 705
New Christopher, MH 59774",1979-06-15,British Virgin Islands
36,Joseph Wheeler,Company,15.8,"170 Harris Landing
Dyerfurt, ID 95758",1984-12-27,British Virgin Islands
37,Mercedes Walsh,Person,40.88,"130 Alexander Street
Copelandmouth, GU 15149",1952-08-11,British Virgin Islands
38,Jessica Adams,Person,74.58,"PSC 8567, Box 5956
APO AP 15213",1965-10-19,British Virgin Islands
39,Jennifer Yates,Person,93.39,"3030 Wright Way
Carpenterport, AR 25380",1948-08-30,British Virgin Islands
40,Anthony Adams,Company,63.43,"447 Gray Green Suite 447
North Nathaniel, MO 51953",1983-11-18,British Virgin Islands
41,Elizabeth Fuentes,Person,79.54,"661 Gabrielle View
Port Tammystad, MH 49112",1955-09-23,British Virgin Islands
42,Ronald Santos,Person,72.7,"851 Donna Trafficway
East Jonathan, AR 29686",1937-08-31,British Virgin Islands
43,Kurt Michael,Person,26.03,"58093 Michael Corners Suite 054
Brownberg, KS 26494",1948-11-23,British Virgin Islands
44,Kyle Turner,Person,64.97,"781 Rebecca Crescent Apt. 556
South Amanda, ND 74960",2006-07-07,British Virgin Islands
45,James Rice,Company,20.39,"946 Merritt Knolls Apt. 562
East Corey, MI 80936",1979-05-29,British Virgin Islands
46,Samantha Hernandez,Person,5.15,"34645 Caitlin Landing Apt. 474
Guerreroport, CT 90706",1975-11-16,British Virgin Islands
47,Teresa Wheeler,Company,27.8,"Unit 0680 Box 9840
DPO AA 97589",1939-12-25,British Virgin Islands
48,Jonathan Joseph,Company,64.34,"2255 Munoz Prairie
North Jenniferbury, RI 95163",1934-08-28,British Virgin Islands
49,Christine Bates,Person,21.43,"13298 Harding Heights Suite 628
North Johnchester, PW 80098",2004-10-08,British Virgin Islands
50,Derek Nichols,Company,84.02,"233 Medina Parkway
Thomasside, AL 43728",1939-06-16,British Virgin Islands
51,Paul Arias,Company,74.98,"95816 Burns Avenue Apt. 778
New Michaelhaven, DE 01285",1981-07-21,British Virgin Islands
52,Melinda King,Person,97.81,"345 Ann Route
Medinaview, IN 80911",2007-01-29,British Virgin Islands
53,Kristen Williams,Company,34.59,"65827 Cooper Islands Suite 735
Wallaceborough, AZ 21835",1963-12-31,British Virgin Islands
