id,name,address,birthdate,nationality,ownership_percentage,type
1,Patrick Garcia,"61166 Hicks Mountains
New Kennethtown, NJ 51637",2005-11-25,Dominican Republic,29.15,Company
2,Laura Lee,"95441 Valerie Shores Apt. 060
Jenkinsborough, NM 74951",1993-07-13,Tajikistan,8.48,Company
3,Kelly Thompson,"USS Norton
FPO AE 25786",1964-11-01,Hong Kong,50.98,Company
4,Amanda Berger,"16351 Johnson Walk Apt. 048
New Jeffreyfort, DE 09150",2010-05-14,Guatemala,70.13,Person
5,Lauren Wood,"674 Warner Prairie Suite 781
Allenfort, VI 71752",2002-11-05,French Polynesia,44.41,Company
6,Patricia Ortiz,"500 Kaitlyn Via Suite 647
Davisstad, OH 44473",1989-11-25,Netherlands,77.97,Company
7,Mark Benson,"314 Vincent Mills Apt. 372
Port Mariashire, PW 06967",1991-07-12,Bahamas,88.56,Person
8,Susan Golden,"6633 Sims Land
South Lisaport, MP 74340",1916-12-20,Saint Helena,9.8,Person
9,Heather Brown,"481 Lawson Plain Suite 775
New Robert, IA 80396",2003-06-20,Martinique,46.86,Company
10,Derrick Mcmahon,"9670 James Rue Suite 457
New Stephanie, MP 41847",1976-11-02,Canada,39.99,Person
11,Matthew Vincent,"10751 Gabriel Terrace
Leview, LA 98454",1996-07-05,Uruguay,9.23,Person
12,Michael Morrison,"3051 Daniel Landing Apt. 114
Lake Joehaven, PW 61801",1953-05-15,Romania,26.76,Person
13,Amanda Smith,"USCGC Hull
FPO AA 16558",1954-04-11,Montserrat,17.89,Company
14,Phillip Harris,"71404 Parks Crest Suite 899
Port Tara, PW 46248",1965-01-16,Antigua and Barbuda,93.05,Company
15,Jason Howard,"712 Paige Drives Suite 421
Coopermouth, KY 48409",1935-04-02,Martinique,14.46,Company
16,Eric Baker,"239 Sean Camp
Shawnborough, GU 25682",2002-10-16,Cape Verde,26.68,Person
17,Jason Stevens,"901 Hoffman Ridges
Matthewbury, OH 66931",2014-08-03,Mozambique,48.36,Person
18,Terri Scott,"135 Nicole Plain
South Kristin, MD 24852",1993-01-24,India,69.7,Person
19,Brett Perez,"90110 Howard Stream
Tonyhaven, NE 97684",1917-04-04,Macao,36.08,Company
20,Jerry Allen,"8739 Castillo Station Apt. 444
Kyleport, MS 77156",1953-08-02,Estonia,82.54,Company
21,Mark Bush,"9664 Anita Ville
Port Jeremy, TN 42659",1943-05-07,Congo,60.15,Company
22,Gary Gonzales,"9319 Goodwin Meadows
Jenkinstown, GA 14145",1986-08-16,Togo,23.59,Person
23,James Jimenez,"2805 Amanda Lodge Apt. 286
Port Ianfort, FM 39904",1953-10-14,Gambia,37.51,Person
24,Michelle Escobar,"5358 Johnson Station Apt. 544
Carrilloburgh, OK 77448",1957-03-09,Lithuania,77.43,Person
25,Emily Richard,"321 David Meadow Suite 717
West Veronica, MD 82302",1999-10-22,Ethiopia,9.21,Company
26,Patrick Ward,"0431 Brady Manor
Annettechester, AS 89532",2015-05-23,Bolivia,71.28,Company
27,Daniel Adams,"0489 Ryan Avenue
North Benjaminfort, NH 95981",1996-10-05,Iran,61.88,Company
28,Kara Terrell,"PSC 5645, Box 9705
APO AA 80390",2008-05-30,Hong Kong,72.21,Company
29,Carrie Miller,"57609 Sullivan Valley Suite 979
North Christinaborough, SC 79698",1975-03-06,Singapore,39.57,Company
30,Ashley Choi,"47501 Brown Plain
Nelsonchester, MA 45650",1967-10-18,Sudan,58.5,Person
31,Tracy Turner,"581 Andrews Burgs Suite 326
Port Brian, WY 54341",1917-04-10,Burkina Faso,90.0,Person
32,Kyle Ortiz,"0547 Carol Centers Suite 037
West Shawnburgh, MS 52838",1967-05-03,Guernsey,54.28,Company
33,Keith Meyers,"78355 Jody Highway Apt. 301
Richardshire, PW 59705",1946-04-03,Argentina,86.04,Company
34,Caroline Nguyen,"69628 Courtney Walk
Jenniferburgh, MO 66713",1918-07-29,Egypt,72.01,Person
35,Ronald Richards,"7556 Logan Rue
East Brandonview, AZ 30099",2019-04-11,Timor-Leste,76.78,Person
36,Jillian Edwards,"74033 David Summit Apt. 565
Taylorfurt, TX 91020",1918-10-19,French Polynesia,15.2,Person
37,Michelle Rubio,"64241 Carroll Plains Apt. 712
Lake John, NV 53222",1979-02-11,Turks and Caicos Islands,56.25,Person
38,Christina Melendez,"3728 Sanchez Island
Wrightview, CT 56372",2021-07-16,Nepal,3.85,Company
39,Paige Terry,"805 Vicki Well
Bryanville, PR 73441",1999-01-06,Bahamas,89.92,Company
40,Seth Huerta,"PSC 9026, Box 3024
APO AE 08348",1974-06-06,Norfolk Island,42.88,Person
41,Deborah Doyle,"48310 Cunningham Glens
South Nicole, ME 76568",1915-06-16,Germany,13.7,Company
42,Mark Elliott,"49518 Victor Groves
Port Elizabeth, NV 55634",2008-10-25,Macao,41.91,Company
43,Arthur Anderson,"76416 Hunt Plain
Johnsonport, KS 67574",2000-03-28,Bangladesh,23.23,Company
44,Natalie Russell,"40751 Sarah Pike
Port Elizabeth, VI 83617",1944-12-16,Guam,81.9,Company
45,Claudia Richards,"73840 Joseph Islands
Danaville, IN 92401",2020-09-14,Albania,6.62,Company
46,Tyrone Maxwell,"6618 Chandler Tunnel Apt. 202
Allenport, AZ 54302",1960-04-27,France,38.87,Company
47,Carrie Black,"8887 Morales Fords
North Brandonstad, KY 64507",1978-10-12,Turkey,29.42,Person
48,Amy Nelson,"02345 Lee Ford Apt. 148
Port Veronica, OR 94225",2000-07-02,Belgium,50.94,Company
49,Melanie Cooper,"5720 Jefferson Harbors Suite 435
Latashamouth, PW 25731",1957-07-12,Bhutan,68.01,Company
50,Jasmin Hancock,"86118 Griffith Estates
West Scottport, PW 36013",2015-11-21,United States Virgin Islands,89.44,Person
51,Jennifer Harrell,"9674 Kelly Drive
North Matthewtown, MO 57379",2024-05-20,Bahamas,37.07,Company
52,Christopher Stevenson,"42130 Richards Ports
South Tara, OR 26472",1938-08-17,Syrian Arab Republic,48.8,Person
53,Rebecca Smith,"USCGC Mcdonald
FPO AE 51565",1957-02-09,Mayotte,82.8,Company
54,Candice Bridges,"6181 Reed Inlet Suite 222
North Jesus, MD 63045",1960-08-25,Panama,9.67,Person
55,Michael Long,"7839 Laurie Shoal Suite 328
Dicksonbury, PR 37027",1929-11-11,Japan,53.83,Person
56,Richard Morris,"42061 Yates Islands Apt. 635
Jeffreyhaven, CO 15850",1965-05-18,Vietnam,29.21,Person
57,Debra Hughes,"USCGC Mcdonald
FPO AA 23141",1937-02-17,Central African Republic,14.12,Company
